tanggal,harga_surabayakota,harga_malangkota,harga_banyuwangikab,harga_blitarkab,harga_jombangkab,harga_madiunkab,harga_malangkab,harga_mojokertokab,harga_nganjukkab,harga_pasuruankab,harga_sidoarjokab,harga_situbondokab,harga_madiunkota
2018-06-19,29000,28800,29000,25000,27500,30000,28600,34500,29500,24833,28500,28000,28666
2018-06-20,29000,29000,29000,25000,27500,30000,28600,34500,29500,24833,28500,28000,28666
2018-06-21,31500,28400,29000,25000,30000,29250,28600,34500,29500,24833,28500,28000,28666
2018-06-22,31000,28800,29000,25000,28333,29250,28600,34500,29333,24833,28500,28000,28666
2018-06-23,29500,29000,29000,25000,28333,29500,28600,34500,29500,24833,28500,28000,28666
2018-06-24,28500,29000,30000,25000,28333,29250,28600,34500,29500,24833,28500,28000,28666
2018-06-25,29500,28800,30000,25000,28333,30000,28600,35000,29500,24833,28500,28000,29333
2018-06-26,30500,28800,30000,25000,28333,30000,29000,35000,27500,24833,28500,28000,29333
2018-06-27,30000,28500,30000,25000,28333,30000,29000,35000,27500,24833,28500,28000,29333
2018-06-28,30000,28500,30000,25000,28333,30000,29100,35000,27500,24833,28500,28000,29333
2018-06-29,34000,28500,30000,25000,28333,30000,83100,35000,27500,24833,28500,28000,29333
2018-06-30,33000,28800,30000,25000,28333,30000,29100,35000,27500,24833,28500,28000,29333
2018-07-01,34000,28800,30000,25000,28333,30000,29300,35000,27500,24833,28500,28000,29333
2018-07-02,34000,28800,30000,25000,28333,30000,29300,35250,27500,24833,28500,28000,29333
2018-07-03,33500,29000,30000,25000,28333,30000,29300,35250,27500,24833,28500,28000,29333
2018-07-04,33500,28400,30000,25000,28333,30000,29300,35250,27500,24833,28500,28000,29333
2018-07-05,34000,28600,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-06,33000,28300,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-07,34000,28400,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-08,34000,28400,30000,25000,28333,30000,29700,35250,30000,24833,28500,28000,29333
2018-07-09,34000,28400,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-10,34000,28200,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-11,34000,28200,30000,25000,28333,30000,29300,35250,30000,24833,28500,28000,29333
2018-07-12,33500,28200,30000,25000,28333,30000,29300,35250,30000,24833,29500,28000,29333
2018-07-13,32500,28300,30000,25000,28333,30000,29400,35250,30000,24833,29500,28000,29333
2018-07-14,33500,28600,30000,25000,28333,30000,29400,35250,30000,24833,29500,28000,29333
2018-07-15,33500,28600,30000,25000,28333,30000,29400,35250,30000,24833,29500,28000,29333
2018-07-16,32666,29200,30000,25000,28333,30000,29400,35500,30000,24833,29500,28000,29333
2018-07-17,33500,29000,30000,25000,28333,30000,29400,35500,30000,24833,29500,28000,29333
2018-07-18,32666,29000,30000,25000,28333,30000,29400,35500,30000,24833,29500,28000,29333
2018-07-19,32666,29200,29200,25000,28333,30000,29400,34750,34000,24833,29500,28000,29333
2018-07-20,32666,29200,29200,25000,28333,30000,29400,34750,34000,24833,29500,28000,29333
2018-07-21,32666,29000,29200,25000,28333,30000,29400,34750,34000,24833,29500,28000,29333
2018-07-22,32666,29000,29200,25000,28333,30000,29600,34750,34000,24833,29500,28000,29333
2018-07-23,32666,29000,29200,25000,28333,30000,29800,34750,34000,24833,29500,28000,29000
2018-07-24,32666,29600,29200,25000,28333,30000,29800,34750,32500,24833,29500,28000,29000
2018-07-25,32666,29600,30000,25000,28333,30000,29800,34750,32500,24833,29500,28000,29000
2018-07-26,32333,29600,29200,25000,28333,30000,29800,34750,32500,24833,29500,28000,29000
2018-07-27,32666,29400,29200,25000,28333,30000,29800,34750,32500,24833,29500,28000,29000
2018-07-28,32666,29400,29200,25000,28333,30000,29800,34750,32500,24833,29500,28000,29000
2018-07-29,32666,29200,29200,25000,28333,29500,29800,34750,32500,24833,29000,28000,29000
2018-07-30,33000,29400,29200,25000,28333,29500,29800,35500,32500,24833,29000,28000,29333
2018-07-31,32666,29000,29200,25000,28333,29500,29800,35500,31000,24833,29000,28000,29333
2018-08-01,32666,28800,29200,25000,28333,30000,29800,35500,31000,24833,29000,28000,29333
2018-08-02,32666,28800,29200,25000,28333,30000,29800,33500,31000,24833,29000,28000,29333
2018-08-03,32666,29200,29200,25000,28333,30000,29800,33500,31000,24833,29000,28000,29333
2018-08-04,32666,28800,29200,25000,28333,30000,29800,33500,31000,24833,29000,28000,29333
2018-08-05,32666,28800,29200,25000,28333,30000,29800,33500,31000,24833,29000,28000,29333
2018-08-06,32666,28800,29200,25000,28333,30000,30000,33750,31000,24833,29000,28000,29333
2018-08-07,32666,29400,29200,25000,28333,30000,30000,33750,30000,24833,29000,28000,29333
2018-08-08,32666,29000,29200,25000,28333,30000,30000,33000,30000,24833,29000,28000,29333
2018-08-09,32666,29000,29200,25000,28333,30000,30000,33000,30000,24833,29000,28000,29333
2018-08-10,32666,29200,29200,25000,28333,30000,30000,33000,30000,24833,29000,28000,29333
2018-08-11,32666,29000,29200,25000,28333,30000,30000,33000,30000,24833,29000,27833,29333
2018-08-12,32666,29200,29200,25000,28333,30000,30000,33000,30000,24833,29000,27833,29333
2018-08-13,32333,29000,29200,25000,28333,30000,30000,33250,30000,24833,29000,27833,29333
2018-08-14,32666,29000,29200,25000,28333,30000,30000,33250,30000,24833,29000,27833,29333
2018-08-15,32666,29600,29200,25000,28333,30000,29800,33250,30000,24833,29000,27833,29333
2018-08-16,32333,29800,29200,25000,28333,30000,29800,33250,30000,24833,30000,27833,29333
2018-08-17,32333,29800,29200,25000,28333,30000,29800,33250,30000,24833,30000,27833,29333
2018-08-18,32333,29400,29200,25000,28333,30000,29800,33250,30000,24833,30000,27833,29333
2018-08-19,32333,29400,29200,25000,28333,30000,29800,33250,30000,24833,30000,27833,29333
2018-08-20,32666,29200,29200,25000,28333,31000,29800,32000,30000,24833,30000,27833,29333
2018-08-21,32666,29000,29200,25000,28333,31000,29800,32000,30000,24833,30000,27833,29333
2018-08-22,32666,29200,27750,25000,28333,31500,29800,32000,30000,24833,30000,27833,29333
2018-08-23,32666,28800,29200,25000,28333,30500,29800,32000,30000,24833,30000,27833,29333
2018-08-24,33333,28400,29200,25000,28333,30500,30800,32000,30000,24833,30000,27833,29333
2018-08-25,32666,28800,29200,25000,28333,30250,30800,32000,30000,24833,30000,27833,29333
2018-08-26,32666,28800,29200,25000,28333,30250,30800,32000,30000,24000,30000,27833,29333
2018-08-27,32666,29400,29000,25000,28333,30000,29600,32500,30000,24833,30000,27833,29333
2018-08-28,32666,29400,29000,25000,28333,30000,29600,32500,30000,24833,30000,27833,29333
2018-08-29,32666,29400,29000,25000,28333,30000,29600,32500,30000,24833,29500,27833,30000
2018-08-30,32666,29200,29000,25000,28333,30000,29600,32500,30000,24833,29500,27833,30000
2018-08-31,32666,28600,29000,25000,28333,30000,29600,32500,30000,24833,29500,27833,30000
2018-09-01,33000,29000,29000,25000,28333,30000,29600,32500,30000,24833,29500,27833,30000
2018-09-02,33000,29000,29000,25000,28333,30000,29600,32500,30000,24833,29500,27833,30000
2018-09-03,32666,28800,29000,25000,30000,30000,29760,32500,30000,24833,29500,27833,30000
2018-09-04,32666,29600,29000,25000,30000,30000,29600,32500,30000,24833,29500,27833,30000
2018-09-05,32666,29600,29000,25000,30000,30000,29600,32500,30000,24833,29500,27833,30000
2018-09-06,32333,29400,29000,25000,30000,30000,29600,32500,30000,24833,29000,27833,30000
2018-09-07,32333,29400,29000,25000,30000,30000,29800,32500,30000,24833,28500,27833,30000
2018-09-08,32666,29400,29000,25000,30000,30000,29800,32500,30000,24833,28500,27833,30000
2018-09-09,32666,29400,29000,25000,30000,30000,29800,32500,30000,24833,28500,27833,30000
2018-09-10,32666,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-11,32666,29400,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-12,32666,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-13,32333,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-14,32333,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-15,32333,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-16,32666,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-17,32333,29200,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,30000
2018-09-18,32333,29400,29000,25000,30000,30000,29800,32750,30000,24833,28500,27833,29666
2018-09-19,32333,29400,29000,25000,30000,30000,30800,32750,30000,24833,28500,27833,29666
2018-09-20,32333,29400,29000,25000,30000,30000,31000,32750,30000,24833,28500,27833,29500
2018-09-21,32666,29400,29000,25000,30000,30000,31000,32750,30000,24833,28500,27833,29666
2018-09-22,32666,29200,29000,25000,30000,30000,31000,32750,30000,24833,28500,27833,29666
2018-09-23,32666,29200,29000,25000,30000,30000,31900,32750,30000,24833,28500,27833,29666
2018-09-24,32666,29000,29000,25000,30000,30000,31900,32750,30000,24833,28500,27833,29666
2018-09-25,32666,29000,29000,25000,30000,30000,30700,32750,30000,24833,28500,27833,29666
2018-09-26,32666,29000,29000,25000,30000,30500,30700,32750,30000,24833,28500,27833,29666
2018-09-27,32666,29200,29000,25000,30000,30750,29700,32750,30000,24833,28500,27833,29666
2018-09-28,32666,29200,23600,25000,30000,30750,29700,32750,30000,24833,28500,28000,29666
2018-09-29,32666,29400,29000,25000,30000,30000,29700,32750,30000,24833,28500,28000,29666
2018-09-30,32666,29400,29000,25000,30000,30500,29700,32750,30000,24833,28500,28000,29666
2018-10-01,32666,29000,29000,25000,30000,30500,29700,33250,30000,24833,28500,28000,29666
2018-10-02,32666,28400,29000,25000,32500,31000,29700,33250,30000,24833,29000,28000,29333
2018-10-03,32666,28600,29000,25000,32500,31000,29700,33250,30000,24833,28500,28000,29333
2018-10-04,32666,28600,29000,25000,32500,31000,29800,33250,30000,24833,28500,28000,29333
2018-10-05,32666,29000,29000,25000,32500,31000,29800,33250,30000,24833,28500,28000,29333
2018-10-06,32666,29000,29000,25000,32500,30250,29800,33250,30000,24833,28500,28000,29333
2018-10-07,32666,29000,29000,25000,32500,30000,29800,33250,30000,24833,28500,28000,29333
2018-10-08,32666,29000,29000,25000,30000,30000,29300,33250,30000,24833,28500,28000,29333
2018-10-09,32666,29200,29000,25000,30000,30000,29300,33250,30000,24833,28500,28000,29333
2018-10-10,32333,29000,29000,25000,30000,30000,29300,33250,30000,24833,28500,28000,29333
2018-10-11,32666,29000,29000,25000,30000,30000,29300,33250,30000,24833,28500,28000,29333
2018-10-12,32666,28800,28000,25000,30000,30000,28800,33250,30000,24833,28500,28333,29333
2018-10-13,32666,28800,28000,25000,30000,30000,28800,33250,30000,24833,29000,28333,29333
2018-10-14,32666,28800,28000,25000,30000,30000,28900,33250,30000,24833,29000,28333,29333
2018-10-15,32666,29000,28000,25000,30000,30000,28900,33000,30000,24833,29000,28333,29333
2018-10-16,32666,28800,28000,25000,30000,30000,28900,33000,29500,24833,29000,28333,29333
2018-10-17,32666,29000,28000,25000,30000,29750,28900,33000,29500,24833,29000,28333,29333
2018-10-18,32666,29000,28000,25000,30000,30000,28900,33000,30000,24833,29000,28333,29333
2018-10-19,33000,28800,28000,25000,30000,30000,28900,33000,30000,24833,29000,28833,29333
2018-10-20,33000,28800,28000,25000,30000,30000,28900,33000,30000,24833,29000,28833,29333
2018-10-21,33000,28800,28000,25000,30000,30000,28900,33000,30000,24833,29000,28666,29333
2018-10-22,33000,29000,28000,137500,30000,30000,29400,33250,30000,24833,29000,28666,29333
2018-10-23,33000,29200,28000,25000,30000,30000,29400,33250,30000,24833,29000,28666,29333
2018-10-24,33000,29200,28000,25000,30000,30000,29400,33250,29500,24833,29000,28666,29333
2018-10-25,33000,29400,28000,25000,30000,30000,29400,33250,29500,24833,29000,28666,29333
2018-10-26,33000,29400,28000,25000,30000,30250,29400,32000,29500,24833,29000,28666,29333
2018-10-27,33000,29400,28000,25000,30000,30000,29400,32000,29500,24833,29000,28666,29333
2018-10-28,33000,29400,28000,25000,30000,30000,29400,32000,29666,24833,29000,28666,29333
2018-10-29,33000,29400,28000,25000,30000,30000,29400,32000,29666,24833,28500,28666,29333
2018-10-30,33000,29200,28000,25000,30000,30500,29400,32000,29666,24833,29000,28666,29333
2018-10-31,33000,29000,28000,25000,30000,30250,29400,32000,29666,24833,29000,28666,29333
2018-11-01,33000,28600,28000,25000,30000,30250,29400,32000,29666,24833,29000,28666,29333
2018-11-02,33000,29200,28000,25000,30000,30000,29400,31000,29666,24833,29000,28666,29333
2018-11-03,33000,29200,28000,25000,30000,30000,29400,31000,30000,24833,29000,28666,29333
2018-11-04,33000,29200,28000,25000,30000,30000,29600,31000,30000,24833,29000,28666,29333
2018-11-05,33000,29200,28000,25000,30000,30500,29600,31500,30000,24833,29000,28666,29333
2018-11-06,33000,29200,28000,25000,30000,30250,29600,31500,30000,24833,29000,28500,29333
2018-11-07,33000,28800,28000,25000,30000,30250,29600,31500,16500,24833,29000,28500,29333
2018-11-08,33000,28800,28000,25000,30000,30500,29600,31500,16500,24833,29000,28500,29333
2018-11-09,33000,28400,28000,25000,30000,30250,29601,31500,30000,24833,29000,28166,29333
2018-11-10,33000,28400,28000,25000,30000,30000,29600,31500,30000,24833,29000,28166,29333
2018-11-11,33000,28400,28000,25000,30000,30000,29600,31500,30000,25833,28500,28166,29333
2018-11-12,32666,28600,28000,25000,30000,30000,29600,30500,30000,25833,28500,28166,29333
2018-11-13,32666,29200,28000,250000,30000,30000,29800,30500,30000,25833,28500,28166,29666
2018-11-14,32666,29600,28000,25000,30000,30000,30000,32000,30000,25833,28500,28166,29666
2018-11-15,32666,29000,28000,25000,30000,30000,30000,32000,30000,25833,28500,28166,29666
2018-11-16,32666,28800,28000,25000,30000,30000,30000,32000,30000,25833,28500,28166,29666
2018-11-17,32666,28800,27000,25000,30000,30000,30000,32000,30000,25833,28500,28166,29666
2018-11-18,32666,28800,27000,25000,30000,30000,30000,32000,30000,25833,28500,28166,29666
2018-11-19,33000,28800,27000,25000,30000,30000,30000,31750,30000,25833,28500,28166,29666
2018-11-20,33000,28800,27000,25000,30000,30000,29800,31750,30000,25833,28500,28166,29666
2018-11-21,31000,28600,27000,25000,30000,30000,29800,31500,30000,25833,28500,28166,29666
2018-11-22,31000,28600,27000,25000,30000,30000,29800,31500,30000,25833,28500,28166,29666
2018-11-23,31000,28600,27000,25000,30000,30000,29800,31500,30000,25833,28500,28166,29666
2018-11-24,32333,28600,27000,25000,30000,30000,29800,31500,30000,25833,28500,28166,29666
2018-11-25,32333,28600,27000,25000,30000,30000,29800,31500,30000,25833,28500,28166,29666
2018-11-26,32333,29000,27000,25000,30000,30000,29800,32000,30000,25833,28500,28166,29666
2018-11-27,32333,28800,27000,25000,30000,30000,29800,32000,30000,25833,28500,28166,29833
2018-11-28,32333,29000,27000,25000,30000,30000,29800,32000,30000,25833,28500,28166,29833
2018-11-29,32333,29000,27000,25000,30000,30000,29600,32000,30000,25833,28500,28166,29833
2018-11-30,32333,28800,27000,25000,30000,30000,30000,32000,30000,25833,28000,28166,29833
2018-12-01,32333,28800,27000,25000,30000,30000,30000,32000,30000,25833,28000,28166,29833
2018-12-02,32333,28800,27000,25000,30000,30000,30000,32000,30000,25833,28000,28166,29833
2018-12-03,32000,28800,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29833
2018-12-04,32000,28800,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29833
2018-12-05,32000,29000,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29833
2018-12-06,32000,28600,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29833
2018-12-07,32000,28600,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29833
2018-12-08,32000,28600,27000,25000,30000,30000,30000,31000,30000,25833,28000,28166,29666
2018-12-09,32000,28600,27500,25000,30000,30000,30000,31000,30000,25833,28000,28166,29666
2018-12-10,32000,28400,27000,25000,30000,30000,30000,31500,30000,25833,28000,28166,29666
2018-12-11,32000,28600,27000,25000,30000,30000,30000,31500,30000,25833,28500,28166,29666
2018-12-12,32000,28600,27000,25000,30000,30000,30000,31500,30000,25833,28500,27833,29666
2018-12-13,32000,28800,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-14,32000,29000,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-15,32000,28800,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-16,32000,28800,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-17,32000,28800,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-18,33333,29000,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-19,33333,29200,27000,25000,30000,30000,31000,31500,30000,25833,28500,27833,29666
2018-12-20,33333,29200,27000,25000,30000,30000,31000,31500,30000,25833,28000,27833,29666
2018-12-21,33000,29200,28000,25000,30000,30000,31000,31500,30000,25833,29000,27833,29666
2018-12-22,33333,29200,28000,25000,30000,30000,31000,31500,30000,25833,29000,27833,29666
2018-12-23,33333,29200,28000,25000,30000,30000,31000,31500,30000,25833,29000,27833,29666
2018-12-24,33333,29400,28000,25000,30000,30000,30000,32000,30000,25833,29000,27833,29666
2018-12-25,33333,29200,28000,25000,30000,30000,30000,32000,30000,25833,29000,27833,29666
2018-12-26,33333,29200,28000,25000,30000,30000,30000,32000,30000,25833,29000,27833,29666
2018-12-27,33333,29200,28000,25000,30000,30000,30000,32000,30000,25833,29000,27833,29666
2018-12-28,33333,29400,28000,25000,30000,30000,30000,32000,30000,25833,29000,27833,29666
2018-12-29,33333,29200,28000,25000,30000,30000,29800,32000,30000,25833,29000,27833,29666
2018-12-30,33333,29200,28000,25000,30000,30000,29800,32000,30000,25833,29000,27833,29666
2018-12-31,34000,29400,29000,25000,30000,30000,29800,31500,30000,25833,29000,27833,29666
2019-01-01,34000,29400,29000,25000,30000,30000,29800,31500,30000,25833,29000,27833,29666
2019-01-02,34000,29400,29000,25000,30000,30000,29800,31500,30000,25833,29000,27833,29666
2019-01-03,34000,29400,29000,25000,30000,30000,29800,31500,30666,25833,29000,27833,30000
2019-01-04,34000,29400,29000,25000,30000,30000,29800,31500,31000,25833,29000,27833,30000
2019-01-05,34000,29400,29000,25000,30000,30000,29800,31500,31000,25833,29000,27833,30000
2019-01-06,34000,29400,29000,25000,30000,30000,29800,31500,31000,25833,29000,27833,30000
2019-01-07,34000,29400,29000,25000,30000,30000,29800,32000,31000,25833,29000,27833,29666
2019-01-08,32333,29400,29000,25000,30000,30000,30000,32000,31000,25833,29000,27833,29666
2019-01-09,32333,29400,29000,25000,30000,29500,30000,31750,31000,25833,28500,27833,29666
2019-01-10,31666,29400,29000,25000,30000,29500,30000,31750,31000,25833,28500,27833,29666
2019-01-11,31666,29400,29000,25000,30000,29250,30000,31750,31000,25833,28500,27833,29666
2019-01-12,31666,29400,29000,25000,30000,29000,30000,31750,31000,25833,28500,27833,29666
2019-01-13,31666,29400,29000,25000,30000,29000,30000,31750,31000,25833,28500,27833,29666
2019-01-14,32333,29400,29000,25000,30000,29000,30000,32000,31000,25833,28500,27833,29666
2019-01-15,33333,29400,29000,25000,30000,29000,31000,32000,31000,25833,28000,27833,29666
2019-01-16,33333,29400,29000,25000,30000,29000,32000,32000,31000,25833,28000,27833,29666
2019-01-17,33333,29400,29000,25000,30000,29000,31000,31500,33666,25833,28000,27833,29666
2019-01-18,30000,29400,29000,25000,30000,29000,31000,31500,33666,25833,28000,27833,29666
2019-01-19,30000,29400,29000,25000,30000,29000,31000,31500,33666,25833,28000,27833,29666
2019-01-20,31666,29400,24500,25000,30000,29000,31000,31500,33666,25833,28000,27833,29666
2019-01-21,31666,29400,24500,25000,30000,29000,30900,31500,33666,25833,28000,27833,29666
2019-01-22,31666,29400,29000,55000,30000,29000,30900,31500,30666,25833,28000,27833,29666
2019-01-23,31666,29400,29000,55000,30000,29000,30900,31500,30666,25833,28000,27833,29666
2019-01-24,31666,29400,29000,55000,30000,29000,30900,31500,30333,25833,28000,27833,29666
2019-01-25,32333,29400,29000,55000,30000,29000,31000,31750,30333,25833,28000,27833,29666
2019-01-26,32333,29400,29000,55000,30000,29000,31000,31750,30333,25833,28000,27833,29666
2019-01-27,32333,29400,29000,25000,30000,29000,31000,31750,30333,25833,28000,27833,29666
2019-01-28,31666,29400,29000,25000,30000,29000,31000,32500,30333,25833,28000,27833,29666
2019-01-29,31000,29400,29000,40000,30000,29000,31000,32500,30000,25833,28000,27833,29666
2019-01-30,31000,29400,29000,40000,30000,29000,31000,32250,30000,25833,28500,27833,29666
2019-01-31,33000,29200,29000,40000,30000,29000,31000,32250,30000,25833,28500,27833,29666
2019-02-01,33000,29200,29000,25000,30000,29000,31000,32250,30000,25833,28500,27833,29666
2019-02-02,33000,29200,29000,25000,30000,29000,31000,32250,30000,25833,28500,27833,29666
2019-02-03,33000,29200,29000,25000,30000,29000,31000,32250,30000,25833,28500,27833,29666
2019-02-04,33000,29200,29000,25000,30000,29000,31000,32500,30000,25833,28500,27833,30000
2019-02-05,33000,29200,29000,25000,30000,29000,31000,32250,30000,25833,28500,27833,30000
2019-02-06,33000,29200,29000,25000,30000,29000,31000,32250,30000,25833,28500,27833,30000
2019-02-07,33000,29400,29000,25000,30000,29000,31000,32250,30666,25833,28500,27833,30000
2019-02-08,33000,29400,29000,25000,30000,29000,31000,32250,30666,25833,28500,27833,30000
2019-02-09,33000,29800,29000,25000,30000,30000,31000,32250,30666,25833,28500,27833,30000
2019-02-10,33000,29800,29000,25000,30000,30000,31000,32250,30666,25833,28500,27833,30000
2019-02-11,33000,29800,29000,25000,30000,30000,31000,31500,30666,25833,28500,27833,30000
2019-02-12,33000,29800,29000,25000,30000,30000,31000,31500,30666,25833,28500,27833,30000
2019-02-13,33000,29600,29000,25000,30000,30000,31000,31500,30666,25833,28500,27833,30000
2019-02-14,33000,29600,29000,25000,30000,30000,31000,31500,30333,25833,28500,27833,30000
2019-02-15,33000,29600,29000,25000,30000,30000,31000,31000,30333,25833,28500,27833,30000
2019-02-16,33000,31600,29000,25000,30000,30000,31000,31000,30333,25833,28500,27833,30000
2019-02-17,33000,31600,29000,25000,30000,30000,31000,31000,30333,25833,28500,27833,30000
2019-02-18,33000,31400,29000,25000,30000,30000,31000,31000,30333,25833,28500,27833,30000
2019-02-19,32666,32800,29000,25000,30000,30000,31000,31000,29333,25833,28500,27500,30000
2019-02-20,32666,32800,30000,25000,30000,30000,31000,31000,29333,25833,28500,27500,30000
2019-02-21,32666,32800,30000,25000,30000,30000,30000,31000,29333,25833,28500,27500,30000
2019-02-22,32666,32800,30000,25000,30000,30000,30000,31000,29333,25833,28500,27500,30000
2019-02-23,32666,32800,30000,25000,30000,30000,30000,31000,29333,25833,28500,27500,30000
2019-02-24,32666,32800,30000,25000,30000,30000,30000,31000,29333,25833,28500,27500,30000
2019-02-25,32666,32800,30000,25000,30000,30000,30000,31000,29333,25833,28500,27500,30000
2019-02-26,32666,32800,30000,25000,30000,30000,30000,31500,29333,25833,28500,27500,30000
2019-02-27,33000,31800,30000,25000,30000,30000,30000,31500,29333,25833,28500,27500,30000
2019-02-28,33000,31200,30000,25000,30000,30000,30000,31500,29333,25833,28500,27500,30000
2019-03-01,33000,30800,30000,25000,30000,30000,30000,31500,29333,25833,28500,27500,30000
2019-03-02,33000,30800,30000,25000,30000,30000,29900,31500,29333,25833,28500,27500,30000
2019-03-03,33000,30800,30000,25000,30000,30000,29900,31500,29333,25833,28500,27500,30000
2019-03-04,33333,30800,30000,25000,30000,30000,29900,31500,29333,25833,28000,27500,30000
2019-03-05,33333,30600,30000,25000,30000,30000,29900,31500,28666,25833,28000,27500,30000
2019-03-06,33000,30600,30000,25000,30000,30000,29900,31500,28666,25833,28000,27500,30000
2019-03-07,33000,30600,30000,25000,30000,30000,29900,31500,28666,25833,28000,27500,30000
2019-03-08,32333,30600,30000,25000,30000,30000,29900,31500,28666,25833,28000,27500,30000
2019-03-09,32333,30600,30000,25000,29400,30000,29800,31500,28666,25833,28500,27500,30000
2019-03-10,32333,30600,29000,25000,29400,30000,29800,31500,28666,25833,28500,27500,30000
2019-03-11,32333,30600,29000,25000,30000,30000,29800,31500,28666,25833,28500,27500,30000
2019-03-12,32333,29600,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
2019-03-13,32333,29600,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
2019-03-14,32333,29600,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
2019-03-15,32333,29600,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
2019-03-16,32333,29800,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
2019-03-17,32333,29800,29000,25000,29400,30000,29800,31500,29666,25833,28500,27500,30000
